Decanoic acid (50 mM),Decanoic acid (10 mM),Decanoic acid (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Decyltrimethyl ammonium bromid (50 mM),Decyltrimethyl ammonium bromid (10 mM),Decyltrimethyl ammonium bromid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Decanol (15 mM),Decanol (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
7.6,0.0,0.0,0.0,0.0,8.7,7.9,0.0,0.0,0.0,7.1,0.0,0.0,0.0,12.4,18.5,0.0,19.1,0.0
0.0,14.0,0.0,0.0,0.0,14.8,0.0,7.1,0.0,0.0,5.1,0.0,0.0,4.9,0.0,8.1,0.0,0.0,18.6
11.4,0.0,0.0,0.0,6.6,0.0,15.4,0.0,0.0,15.1,0.0,0.0,0.0,0.0,5.4,15.1,0.0,0.0,9.3
6.4,0.0,0.0,0.0,0.0,9.7,0.0,16.6,0.0,0.0,5.4,0.0,0.0,0.0,12.0,19.7,0.0,5.0,0.0
0.0,7.6,0.0,7.3,0.0,0.0,18.3,0.0,0.0,5.9,0.0,0.0,0.0,0.0,16.0,10.2,0.0,5.3,0.0
0.0,12.3,0.0,0.0,15.2,0.0,0.0,5.0,0.0,8.9,0.0,0.0,0.0,0.0,7.4,9.7,0.0,16.5,0.0
0.0,6.3,0.0,0.0,11.1,0.0,0.0,6.7,0.0,0.0,7.9,0.0,0.0,13.3,0.0,0.0,11.5,17.2,0.0
9.7,0.0,0.0,0.0,0.0,13.3,0.0,7.4,0.0,14.5,0.0,0.0,0.0,10.0,0.0,15.4,0.0,4.3,0.0
6.5,0.0,0.0,5.1,0.0,0.0,17.7,0.0,0.0,9.4,0.0,0.0,0.0,0.0,12.3,7.1,0.0,0.0,18.1
0.0,9.7,0.0,0.0,17.5,0.0,0.0,19.0,0.0,0.0,0.0,13.1,0.0,18.8,0.0,7.1,0.0,13.0,0.0
